epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.2555,1.19964,0.67622,1.12655,0.72964,0.78361,0.76756,0.43589,1.59947,0.80668,1.35422,0.000369069,0.000369069,0.000369069
2,152.69,1.24702,0.71045,1.15494,0.72861,0.78321,0.75978,0.41909,1.62742,0.84189,1.38237,0.000690602,0.000690602,0.000690602
3,228.471,1.26926,0.73055,1.16236,0.71101,0.7836,0.76001,0.41993,1.65367,0.84121,1.39218,0.000963251,0.000963251,0.000963251
4,302.799,1.25953,0.71675,1.15258,0.73001,0.75514,0.7438,0.40826,1.64826,0.84181,1.37775,0.000891022,0.000891022,0.000891022
5,377.325,1.24809,0.70677,1.14681,0.76638,0.74454,0.76659,0.43709,1.60396,0.82992,1.34763,0.000817696,0.000817696,0.000817696
6,443.341,1.16513,0.60402,1.11451,0.75739,0.73076,0.77272,0.43637,1.61769,0.82663,1.38239,0.00074437,0.00074437,0.00074437
7,508.781,1.13842,0.58004,1.11087,0.72903,0.70044,0.73945,0.42365,1.64194,0.8501,1.40053,0.000671044,0.000671044,0.000671044
8,574.577,1.1176,0.5688,1.09108,0.72246,0.76469,0.76001,0.42893,1.61913,0.8192,1.37875,0.000597718,0.000597718,0.000597718
9,641.32,1.09821,0.55189,1.08994,0.75753,0.76142,0.78373,0.44987,1.60655,0.79186,1.37739,0.000524392,0.000524392,0.000524392
10,707.246,1.07691,0.5344,1.08271,0.75717,0.79996,0.78405,0.45534,1.59474,0.78974,1.3597,0.000451066,0.000451066,0.000451066
11,771.132,1.0554,0.51908,1.07003,0.74864,0.78875,0.78105,0.45238,1.58151,0.78322,1.36544,0.00037774,0.00037774,0.00037774
12,836.511,1.0357,0.51077,1.06414,0.76903,0.79186,0.79175,0.45941,1.59913,0.7743,1.35734,0.000304414,0.000304414,0.000304414
13,901.242,1.0213,0.49668,1.05159,0.75717,0.78569,0.77858,0.4525,1.58791,0.77409,1.36555,0.000231088,0.000231088,0.000231088
14,966.909,1.00042,0.48282,1.04811,0.75892,0.80249,0.79522,0.46053,1.5803,0.76525,1.3622,0.000157762,0.000157762,0.000157762
15,1031.31,0.98109,0.47153,1.04024,0.77386,0.78388,0.79378,0.46727,1.58208,0.76306,1.36029,8.4436e-05,8.4436e-05,8.4436e-05
