epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.584,1.25075,0.70642,1.15749,0.7613,0.758,0.76089,0.43461,1.59083,0.82067,1.35524,0.000369069,0.000369069,0.000369069
2,156.153,1.26808,0.71274,1.1593,0.73688,0.72522,0.74569,0.40178,1.61901,0.83075,1.36933,0.000690602,0.000690602,0.000690602
3,231.612,1.29139,0.74232,1.18137,0.7485,0.77561,0.76535,0.42154,1.62687,0.82186,1.36827,0.000963251,0.000963251,0.000963251
4,306.084,1.30317,0.74695,1.18263,0.75222,0.73535,0.74235,0.41175,1.61526,0.82933,1.36237,0.000891022,0.000891022,0.000891022
5,379.801,1.27186,0.72435,1.17187,0.69228,0.79795,0.74226,0.4166,1.60377,0.83732,1.36729,0.000817696,0.000817696,0.000817696
6,443.641,1.16443,0.60076,1.11576,0.72686,0.7419,0.7514,0.4168,1.622,0.83705,1.37566,0.00074437,0.00074437,0.00074437
7,507.902,1.14004,0.57974,1.10868,0.74423,0.77311,0.77836,0.43069,1.61352,0.81344,1.37331,0.000671044,0.000671044,0.000671044
8,572.392,1.12743,0.57252,1.09593,0.71997,0.78886,0.77216,0.44016,1.58178,0.80073,1.35142,0.000597718,0.000597718,0.000597718
9,638.268,1.10322,0.55202,1.08514,0.73591,0.78934,0.77858,0.43315,1.59935,0.78917,1.36611,0.000524392,0.000524392,0.000524392
10,703.981,1.08119,0.537,1.07909,0.74177,0.76943,0.76684,0.43287,1.59398,0.78777,1.3721,0.000451066,0.000451066,0.000451066
11,770.617,1.06249,0.52373,1.07107,0.74015,0.76592,0.77031,0.4442,1.58328,0.79674,1.36106,0.00037774,0.00037774,0.00037774
12,836.511,1.03549,0.50705,1.06213,0.78629,0.76241,0.78227,0.44475,1.59219,0.77069,1.36965,0.000304414,0.000304414,0.000304414
13,901.887,1.01571,0.49088,1.05435,0.7565,0.77042,0.78023,0.44671,1.58776,0.7838,1.36703,0.000231088,0.000231088,0.000231088
14,968.004,1.00373,0.48437,1.04776,0.76257,0.76393,0.77736,0.44738,1.59277,0.782,1.37567,0.000157762,0.000157762,0.000157762
15,1032.56,0.98521,0.47414,1.04195,0.75516,0.76948,0.77809,0.44675,1.59114,0.77235,1.3778,8.4436e-05,8.4436e-05,8.4436e-05
