epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.1884,1.2056,0.66734,1.13336,0.75486,0.74524,0.76439,0.4332,1.61036,0.81384,1.36253,0.000369069,0.000369069,0.000369069
2,146.515,1.23335,0.6881,1.14237,0.76803,0.73852,0.771,0.43649,1.5782,0.82919,1.34955,0.000690602,0.000690602,0.000690602
3,219.796,1.25566,0.71983,1.16215,0.75113,0.74818,0.77065,0.42765,1.60964,0.81922,1.36823,0.000963251,0.000963251,0.000963251
4,292.957,1.2644,0.71289,1.16262,0.69096,0.79279,0.73387,0.40014,1.62433,0.8154,1.36811,0.000891022,0.000891022,0.000891022
5,366.559,1.27389,0.71483,1.16665,0.73649,0.74218,0.76333,0.41579,1.62876,0.82293,1.3847,0.000817696,0.000817696,0.000817696
6,431.939,1.16076,0.6002,1.10757,0.72036,0.76031,0.76897,0.43027,1.62951,0.81545,1.38661,0.00074437,0.00074437,0.00074437
7,497.66,1.13855,0.58129,1.10279,0.75454,0.7337,0.77285,0.43426,1.63077,0.8336,1.40073,0.000671044,0.000671044,0.000671044
8,563.067,1.1215,0.57066,1.09144,0.72634,0.77724,0.77525,0.42972,1.62361,0.83172,1.37221,0.000597718,0.000597718,0.000597718
9,628.469,1.10639,0.55263,1.08621,0.74211,0.76561,0.76659,0.42948,1.62497,0.82275,1.38278,0.000524392,0.000524392,0.000524392
10,694.879,1.08064,0.53446,1.07927,0.76711,0.75878,0.78899,0.45327,1.59717,0.8095,1.36525,0.000451066,0.000451066,0.000451066
11,759.675,1.05851,0.51906,1.06931,0.75801,0.78158,0.80008,0.455,1.60211,0.78756,1.36986,0.00037774,0.00037774,0.00037774
12,823.779,1.03787,0.50693,1.05903,0.75884,0.78413,0.79995,0.46138,1.59624,0.78259,1.36932,0.000304414,0.000304414,0.000304414
13,889.25,1.01415,0.4914,1.05074,0.76176,0.78232,0.79857,0.45847,1.59064,0.77769,1.37273,0.000231088,0.000231088,0.000231088
14,954.355,0.99944,0.47917,1.04118,0.74561,0.79701,0.79487,0.46163,1.58722,0.78108,1.36949,0.000157762,0.000157762,0.000157762
15,1019.1,0.98406,0.47139,1.03883,0.76406,0.77318,0.79572,0.46134,1.58574,0.78052,1.3725,8.4436e-05,8.4436e-05,8.4436e-05
