epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.0266,1.15255,0.62392,1.10506,0.75683,0.77573,0.77921,0.4425,1.59732,0.80695,1.36864,0.000369069,0.000369069,0.000369069
2,143.174,1.19346,0.64266,1.12095,0.75304,0.75899,0.76211,0.41694,1.63526,0.84799,1.38142,0.000690602,0.000690602,0.000690602
3,214.978,1.21498,0.68232,1.12972,0.74017,0.76745,0.75871,0.41637,1.63506,0.81583,1.38856,0.000963251,0.000963251,0.000963251
4,286.038,1.20345,0.66391,1.12469,0.73632,0.76861,0.76649,0.42861,1.64002,0.84146,1.40311,0.000891022,0.000891022,0.000891022
5,359.06,1.20493,0.65451,1.12789,0.75824,0.75234,0.77407,0.43874,1.61879,0.80469,1.38306,0.000817696,0.000817696,0.000817696
6,425.514,1.15683,0.59094,1.11132,0.72905,0.7471,0.75275,0.42378,1.61364,0.81198,1.39898,0.00074437,0.00074437,0.00074437
7,491.991,1.13776,0.57402,1.10515,0.71649,0.78249,0.76072,0.43812,1.60748,0.80323,1.3677,0.000671044,0.000671044,0.000671044
8,560.513,1.12334,0.56431,1.09126,0.74572,0.75342,0.76661,0.43805,1.61389,0.82886,1.36179,0.000597718,0.000597718,0.000597718
9,626.225,1.09919,0.54793,1.08097,0.72523,0.76564,0.77806,0.44818,1.59741,0.8058,1.36327,0.000524392,0.000524392,0.000524392
10,690.918,1.08439,0.53424,1.07823,0.75749,0.76856,0.78114,0.44368,1.5885,0.7971,1.35891,0.000451066,0.000451066,0.000451066
11,757.333,1.06013,0.52041,1.06872,0.74799,0.77353,0.77873,0.45253,1.57416,0.7918,1.35492,0.00037774,0.00037774,0.00037774
12,823.27,1.03565,0.50685,1.06418,0.7621,0.76453,0.7891,0.45461,1.58602,0.77852,1.37029,0.000304414,0.000304414,0.000304414
13,888.672,1.0162,0.49114,1.05242,0.75256,0.77411,0.77645,0.44745,1.58329,0.77741,1.37253,0.000231088,0.000231088,0.000231088
14,955.739,0.99824,0.47917,1.0463,0.76177,0.77186,0.78745,0.45621,1.57951,0.78344,1.37181,0.000157762,0.000157762,0.000157762
15,1023.64,0.97923,0.46927,1.03886,0.7787,0.7689,0.78886,0.45454,1.57916,0.76643,1.3657,8.4436e-05,8.4436e-05,8.4436e-05
