epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.225,1.15858,0.62591,1.11186,0.7471,0.76888,0.76065,0.42697,1.6099,0.8281,1.37094,0.000369069,0.000369069,0.000369069
2,140.486,1.19634,0.65585,1.13009,0.71334,0.75566,0.74234,0.39549,1.62768,0.84854,1.37874,0.000690602,0.000690602,0.000690602
3,210.096,1.24241,0.69372,1.15761,0.72564,0.72078,0.75031,0.41306,1.6319,0.86459,1.37568,0.000963251,0.000963251,0.000963251
4,279.181,1.25416,0.69634,1.15321,0.74559,0.76105,0.76699,0.42002,1.6219,0.83425,1.3666,0.000891022,0.000891022,0.000891022
5,348.259,1.22769,0.67302,1.14737,0.69898,0.78166,0.76648,0.42739,1.64446,0.83132,1.40134,0.000817696,0.000817696,0.000817696
6,413.163,1.15837,0.59856,1.11392,0.74697,0.7433,0.75538,0.41995,1.63081,0.83939,1.40463,0.00074437,0.00074437,0.00074437
7,477.762,1.13378,0.57738,1.10788,0.73613,0.75934,0.75666,0.42788,1.62154,0.83316,1.38723,0.000671044,0.000671044,0.000671044
8,541.961,1.11977,0.56279,1.09507,0.7375,0.74368,0.74404,0.41878,1.61426,0.84977,1.38334,0.000597718,0.000597718,0.000597718
9,614.574,1.09869,0.55024,1.08977,0.7439,0.75826,0.7752,0.4396,1.60583,0.79655,1.38049,0.000524392,0.000524392,0.000524392
10,679.829,1.07583,0.53568,1.0747,0.73773,0.77256,0.77874,0.43739,1.61556,0.81294,1.39111,0.000451066,0.000451066,0.000451066
11,744.929,1.05365,0.51876,1.07159,0.75518,0.73466,0.77862,0.44429,1.59424,0.81254,1.38632,0.00037774,0.00037774,0.00037774
12,809.976,1.03629,0.50898,1.06351,0.73694,0.77311,0.77605,0.4421,1.61009,0.79811,1.38106,0.000304414,0.000304414,0.000304414
13,874.842,1.01726,0.49242,1.0544,0.74976,0.77515,0.78214,0.44743,1.60177,0.79109,1.37288,0.000231088,0.000231088,0.000231088
14,940.377,1.00185,0.48118,1.04697,0.76125,0.76561,0.77323,0.44675,1.58359,0.7927,1.37084,0.000157762,0.000157762,0.000157762
15,1005.96,0.98047,0.47022,1.03791,0.7763,0.76263,0.78233,0.45001,1.58383,0.77842,1.37204,8.4436e-05,8.4436e-05,8.4436e-05
