epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.3325,1.20909,0.67497,1.14182,0.73323,0.76789,0.76137,0.43238,1.59319,0.81341,1.34215,0.000369069,0.000369069,0.000369069
2,143.074,1.25363,0.70405,1.1647,0.76121,0.73591,0.761,0.41897,1.62772,0.81681,1.38234,0.000690602,0.000690602,0.000690602
3,214.042,1.27305,0.72845,1.17043,0.72191,0.77348,0.7748,0.43001,1.61657,0.83624,1.37207,0.000963251,0.000963251,0.000963251
4,287.583,1.30003,0.73839,1.18461,0.7021,0.7361,0.73736,0.40989,1.64041,0.83334,1.38143,0.000891022,0.000891022,0.000891022
5,360.342,1.25718,0.70547,1.16448,0.74742,0.76897,0.76019,0.42588,1.61886,0.83505,1.38034,0.000817696,0.000817696,0.000817696
6,425.907,1.16018,0.6038,1.11898,0.74935,0.77578,0.77097,0.43027,1.60281,0.83121,1.37939,0.00074437,0.00074437,0.00074437
7,492.073,1.13763,0.58284,1.10763,0.73047,0.76432,0.7572,0.42571,1.61443,0.85277,1.39402,0.000671044,0.000671044,0.000671044
8,557.533,1.12324,0.5665,1.09885,0.73641,0.77095,0.77576,0.44181,1.60798,0.81778,1.37432,0.000597718,0.000597718,0.000597718
9,620.791,1.10051,0.55082,1.08796,0.76218,0.76333,0.78525,0.44404,1.60645,0.79573,1.37653,0.000524392,0.000524392,0.000524392
10,685.616,1.08003,0.53624,1.08183,0.74759,0.76379,0.77638,0.4357,1.61936,0.8188,1.39079,0.000451066,0.000451066,0.000451066
11,750.066,1.05517,0.52126,1.06795,0.69876,0.74842,0.75163,0.43328,1.60134,0.81603,1.3694,0.00037774,0.00037774,0.00037774
12,814.545,1.03948,0.50438,1.06096,0.75333,0.76961,0.78215,0.44891,1.60243,0.80062,1.37859,0.000304414,0.000304414,0.000304414
13,879.052,1.01766,0.49336,1.05366,0.7377,0.76416,0.76179,0.4365,1.59306,0.79648,1.37976,0.000231088,0.000231088,0.000231088
14,943.545,1.0046,0.48225,1.04747,0.72589,0.76339,0.77571,0.4485,1.59621,0.7965,1.38063,0.000157762,0.000157762,0.000157762
15,1006.99,0.97996,0.47053,1.03664,0.73806,0.75698,0.77142,0.44558,1.60373,0.79421,1.38929,8.4436e-05,8.4436e-05,8.4436e-05
