epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.0945,1.21347,0.68559,1.13791,0.73972,0.76862,0.77399,0.44271,1.5771,0.79314,1.34401,0.000369069,0.000369069,0.000369069
2,146.187,1.2301,0.69428,1.14419,0.72085,0.75677,0.7516,0.42269,1.58975,0.84147,1.35294,0.000690602,0.000690602,0.000690602
3,219.64,1.26043,0.71735,1.15884,0.76624,0.73654,0.76631,0.43101,1.61882,0.82472,1.37102,0.000963251,0.000963251,0.000963251
4,304.242,1.27466,0.72759,1.15844,0.7092,0.77308,0.75677,0.4263,1.62726,0.84561,1.36847,0.000891022,0.000891022,0.000891022
5,378.123,1.27509,0.71863,1.16861,0.70787,0.78095,0.74169,0.4117,1.63184,0.84127,1.37867,0.000817696,0.000817696,0.000817696
6,441.481,1.16471,0.60038,1.11349,0.72654,0.76554,0.76561,0.42815,1.62602,0.83162,1.38065,0.00074437,0.00074437,0.00074437
7,507.129,1.14467,0.58199,1.1063,0.71176,0.76313,0.74212,0.4095,1.65441,0.85433,1.41444,0.000671044,0.000671044,0.000671044
8,572.899,1.12299,0.56768,1.09512,0.73147,0.79371,0.77129,0.43733,1.60198,0.813,1.36063,0.000597718,0.000597718,0.000597718
9,639.029,1.09996,0.55155,1.08479,0.75374,0.76871,0.77426,0.44083,1.60733,0.80607,1.37609,0.000524392,0.000524392,0.000524392
10,704.184,1.07883,0.53674,1.07394,0.78178,0.77444,0.78408,0.44856,1.60644,0.80479,1.38091,0.000451066,0.000451066,0.000451066
11,769.238,1.0619,0.5235,1.07085,0.75839,0.77445,0.77278,0.43921,1.61242,0.79339,1.38388,0.00037774,0.00037774,0.00037774
12,835.194,1.03207,0.50389,1.0599,0.76925,0.76991,0.7782,0.44434,1.59581,0.79704,1.37231,0.000304414,0.000304414,0.000304414
13,902.05,1.01985,0.491,1.05362,0.77063,0.75709,0.78379,0.4497,1.60126,0.77867,1.37383,0.000231088,0.000231088,0.000231088
14,968.016,1.00229,0.48065,1.05023,0.75485,0.7921,0.78685,0.45424,1.59814,0.78734,1.38305,0.000157762,0.000157762,0.000157762
15,1033.51,0.9851,0.46933,1.04104,0.76802,0.76528,0.77594,0.44842,1.60003,0.78777,1.3796,8.4436e-05,8.4436e-05,8.4436e-05
