epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.1869,1.13206,0.60346,1.09343,0.72458,0.77538,0.77513,0.43578,1.618,0.82845,1.37044,0.000369069,0.000369069,0.000369069
2,141.714,1.18983,0.64127,1.11723,0.70454,0.78796,0.75301,0.41435,1.62614,0.82822,1.38123,0.000690602,0.000690602,0.000690602
3,211.709,1.21922,0.67184,1.13515,0.6952,0.80007,0.77248,0.43632,1.62681,0.83335,1.36427,0.000963251,0.000963251,0.000963251
4,281.473,1.2213,0.67036,1.1306,0.73136,0.70383,0.73737,0.40851,1.65152,0.84915,1.39744,0.000891022,0.000891022,0.000891022
5,351.663,1.20479,0.6559,1.12751,0.72665,0.75409,0.75662,0.41828,1.64212,0.83457,1.37541,0.000817696,0.000817696,0.000817696
6,416.928,1.16131,0.59566,1.11053,0.76842,0.76288,0.78582,0.43962,1.61623,0.82689,1.38103,0.00074437,0.00074437,0.00074437
7,481.356,1.14162,0.5827,1.1036,0.71638,0.74639,0.75187,0.42128,1.63592,0.86568,1.41939,0.000671044,0.000671044,0.000671044
8,545.177,1.12188,0.56424,1.09715,0.77289,0.73805,0.77019,0.43118,1.62244,0.81888,1.38141,0.000597718,0.000597718,0.000597718
9,609.93,1.09054,0.54109,1.08282,0.7421,0.73558,0.75913,0.43335,1.58548,0.79562,1.36787,0.000524392,0.000524392,0.000524392
10,674.447,1.0749,0.53236,1.07964,0.74987,0.75999,0.76965,0.44193,1.58257,0.7951,1.36565,0.000451066,0.000451066,0.000451066
11,739.15,1.05845,0.52042,1.0729,0.74993,0.77331,0.7692,0.43637,1.60685,0.78588,1.38453,0.00037774,0.00037774,0.00037774
12,803.53,1.03788,0.50954,1.06179,0.75109,0.77103,0.78331,0.44914,1.59682,0.77673,1.36072,0.000304414,0.000304414,0.000304414
13,868.038,1.02019,0.49462,1.04679,0.7572,0.76548,0.76804,0.4399,1.5936,0.77791,1.37714,0.000231088,0.000231088,0.000231088
14,933.859,0.99423,0.47977,1.04748,0.75224,0.78281,0.78131,0.44961,1.5903,0.77203,1.3787,0.000157762,0.000157762,0.000157762
15,999.199,0.97975,0.47105,1.0396,0.74988,0.78618,0.77445,0.44517,1.5899,0.77001,1.3747,8.4436e-05,8.4436e-05,8.4436e-05
