epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.841,1.21305,0.67558,1.1485,0.70198,0.78566,0.75999,0.42665,1.61786,0.80807,1.39389,0.000369069,0.000369069,0.000369069
2,146.2,1.24457,0.69573,1.1545,0.7543,0.71831,0.75818,0.41792,1.6232,0.82054,1.37474,0.000690602,0.000690602,0.000690602
3,217.792,1.2626,0.71822,1.17156,0.71613,0.73917,0.75903,0.42416,1.64258,0.86606,1.3726,0.000963251,0.000963251,0.000963251
4,288.534,1.28915,0.7324,1.18452,0.74775,0.72976,0.75033,0.41144,1.64288,0.8533,1.39391,0.000891022,0.000891022,0.000891022
5,365.633,1.27375,0.71739,1.17226,0.72635,0.7412,0.74788,0.40558,1.61563,0.84954,1.37628,0.000817696,0.000817696,0.000817696
6,430.674,1.16461,0.60451,1.11937,0.72465,0.77206,0.77109,0.44039,1.6051,0.82916,1.35524,0.00074437,0.00074437,0.00074437
7,495.11,1.14293,0.5843,1.10162,0.76172,0.69323,0.75999,0.4295,1.62835,0.84136,1.38944,0.000671044,0.000671044,0.000671044
8,559.219,1.12674,0.56662,1.09767,0.73154,0.72963,0.74815,0.42942,1.60472,0.83552,1.36046,0.000597718,0.000597718,0.000597718
9,622.533,1.09626,0.5483,1.08591,0.7374,0.74174,0.7739,0.4411,1.60245,0.81644,1.37301,0.000524392,0.000524392,0.000524392
10,688.035,1.07722,0.53411,1.07293,0.74222,0.74381,0.75525,0.43185,1.60719,0.80547,1.37016,0.000451066,0.000451066,0.000451066
11,753.62,1.06364,0.5225,1.06992,0.71764,0.78623,0.76785,0.44091,1.59504,0.80295,1.37801,0.00037774,0.00037774,0.00037774
12,818.022,1.03378,0.50796,1.06511,0.76707,0.73891,0.77207,0.44645,1.59385,0.79845,1.37566,0.000304414,0.000304414,0.000304414
13,882.808,1.01853,0.49311,1.05518,0.76643,0.74079,0.78544,0.45766,1.57769,0.78414,1.36181,0.000231088,0.000231088,0.000231088
14,947.558,1.0062,0.4814,1.04418,0.7662,0.74692,0.77947,0.45742,1.57675,0.7771,1.36388,0.000157762,0.000157762,0.000157762
15,1011.78,0.9804,0.46911,1.03827,0.77809,0.72899,0.77717,0.45477,1.57653,0.7831,1.36394,8.4436e-05,8.4436e-05,8.4436e-05
