epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.3213,1.11154,0.57856,1.08521,0.74758,0.78185,0.78016,0.44136,1.60891,0.78742,1.37652,0.000369069,0.000369069,0.000369069
2,139.728,1.16964,0.62332,1.11384,0.7319,0.7243,0.74116,0.40691,1.61843,0.84161,1.36671,0.000690602,0.000690602,0.000690602
3,208.981,1.19185,0.64171,1.1258,0.74124,0.76931,0.76204,0.42965,1.63703,0.84307,1.39102,0.000963251,0.000963251,0.000963251
4,277.963,1.19454,0.64386,1.12686,0.70248,0.78729,0.7578,0.42079,1.63655,0.83913,1.38547,0.000891022,0.000891022,0.000891022
5,347.203,1.17417,0.62695,1.11997,0.75227,0.76848,0.78327,0.44086,1.60014,0.79153,1.36205,0.000817696,0.000817696,0.000817696
6,413.84,1.15626,0.59173,1.11046,0.78588,0.75957,0.78378,0.43701,1.62132,0.81945,1.36719,0.00074437,0.00074437,0.00074437
7,480.509,1.12763,0.57237,1.10132,0.74654,0.74893,0.75755,0.42874,1.634,0.81996,1.40107,0.000671044,0.000671044,0.000671044
8,547.441,1.11778,0.56321,1.09042,0.74938,0.74787,0.7634,0.43058,1.61837,0.81974,1.36254,0.000597718,0.000597718,0.000597718
9,614.327,1.09536,0.54494,1.08442,0.74699,0.75767,0.76155,0.43042,1.61033,0.80545,1.37092,0.000524392,0.000524392,0.000524392
10,681.185,1.07467,0.52997,1.0785,0.75703,0.78099,0.76973,0.43561,1.60243,0.78856,1.3651,0.000451066,0.000451066,0.000451066
11,748.015,1.05228,0.51734,1.06565,0.72227,0.79284,0.77026,0.44316,1.59725,0.80502,1.38615,0.00037774,0.00037774,0.00037774
12,815.101,1.04057,0.50621,1.06275,0.75579,0.78721,0.77993,0.44446,1.59532,0.77702,1.36522,0.000304414,0.000304414,0.000304414
13,882.403,1.01655,0.49329,1.0482,0.74035,0.78608,0.77484,0.44661,1.58953,0.7833,1.37323,0.000231088,0.000231088,0.000231088
14,949.558,1.00366,0.48141,1.0439,0.75805,0.78433,0.78909,0.45792,1.59081,0.76849,1.37478,0.000157762,0.000157762,0.000157762
15,1017.05,0.97646,0.46735,1.03565,0.75599,0.77911,0.7885,0.45524,1.59368,0.77671,1.3793,8.4436e-05,8.4436e-05,8.4436e-05
