epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.8577,1.17532,0.64136,1.11899,0.73903,0.76558,0.75489,0.42689,1.61625,0.80405,1.37155,0.000369069,0.000369069,0.000369069
2,185.317,1.22858,0.67636,1.14456,0.7025,0.80016,0.76544,0.42157,1.62166,0.83187,1.37886,0.000690602,0.000690602,0.000690602
3,312.317,1.24292,0.69882,1.15031,0.72243,0.74693,0.75443,0.4162,1.62427,0.84883,1.3816,0.000963251,0.000963251,0.000963251
4,435.318,1.25713,0.70714,1.15739,0.72388,0.79014,0.77877,0.41367,1.66073,0.83417,1.39923,0.000891022,0.000891022,0.000891022
5,564.201,1.23453,0.68851,1.15174,0.75016,0.77057,0.77272,0.42981,1.60422,0.84214,1.36174,0.000817696,0.000817696,0.000817696
6,677.639,1.15936,0.59836,1.11096,0.76225,0.74155,0.76512,0.42869,1.62575,0.83229,1.38683,0.00074437,0.00074437,0.00074437
7,793.825,1.13634,0.57884,1.1081,0.73278,0.75101,0.76377,0.42762,1.64897,0.82338,1.41612,0.000671044,0.000671044,0.000671044
8,906.678,1.1168,0.5668,1.09749,0.75833,0.76372,0.77261,0.44084,1.61083,0.81271,1.37133,0.000597718,0.000597718,0.000597718
9,975.302,1.09347,0.54517,1.08381,0.74239,0.74688,0.7548,0.4248,1.60682,0.81428,1.38225,0.000524392,0.000524392,0.000524392
10,1040.35,1.07469,0.5358,1.07755,0.7276,0.77932,0.76689,0.43242,1.60048,0.81554,1.37512,0.000451066,0.000451066,0.000451066
11,1105.69,1.05635,0.52153,1.07155,0.71389,0.75718,0.74634,0.42657,1.5932,0.81451,1.37263,0.00037774,0.00037774,0.00037774
12,1171.24,1.03678,0.51011,1.05896,0.77888,0.76555,0.7896,0.45499,1.60051,0.79049,1.38733,0.000304414,0.000304414,0.000304414
13,1236.13,1.01978,0.49507,1.05315,0.75668,0.76009,0.75913,0.44033,1.58141,0.79581,1.36253,0.000231088,0.000231088,0.000231088
14,1303.34,0.99766,0.4822,1.04302,0.74879,0.7799,0.76957,0.44379,1.59366,0.79492,1.37089,0.000157762,0.000157762,0.000157762
15,1368.92,0.98124,0.47217,1.03749,0.76695,0.76115,0.77579,0.44816,1.59263,0.79587,1.37322,8.4436e-05,8.4436e-05,8.4436e-05
