epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.873,1.12775,0.5993,1.08724,0.72813,0.75803,0.7495,0.42471,1.58456,0.8015,1.36314,0.000369069,0.000369069,0.000369069
2,139.092,1.18996,0.6424,1.12035,0.75133,0.74649,0.77002,0.4295,1.62526,0.82853,1.38444,0.000690602,0.000690602,0.000690602
3,207.101,1.21137,0.66819,1.13009,0.71406,0.73757,0.73156,0.41172,1.64012,0.86456,1.3662,0.000963251,0.000963251,0.000963251
4,276.209,1.21635,0.66595,1.13363,0.72386,0.75978,0.75408,0.41878,1.62284,0.85211,1.38628,0.000891022,0.000891022,0.000891022
5,346.372,1.2034,0.65802,1.13071,0.74972,0.76842,0.7718,0.43388,1.61554,0.81849,1.39351,0.000817696,0.000817696,0.000817696
6,411.355,1.15722,0.59335,1.11386,0.74112,0.76556,0.77262,0.43603,1.59819,0.84074,1.37876,0.00074437,0.00074437,0.00074437
7,474.4,1.13431,0.57491,1.10097,0.76453,0.75264,0.79599,0.45348,1.59638,0.80568,1.37918,0.000671044,0.000671044,0.000671044
8,538.036,1.11816,0.56231,1.09513,0.74425,0.75114,0.76125,0.43208,1.60407,0.81447,1.3786,0.000597718,0.000597718,0.000597718
9,604.303,1.09394,0.54301,1.08463,0.75164,0.76783,0.77976,0.43313,1.59731,0.80723,1.37779,0.000524392,0.000524392,0.000524392
10,668.529,1.07125,0.5297,1.07049,0.76098,0.73745,0.76395,0.42603,1.61093,0.80233,1.386,0.000451066,0.000451066,0.000451066
11,744.794,1.06153,0.5209,1.07173,0.76275,0.77436,0.76602,0.42301,1.61331,0.79543,1.39783,0.00037774,0.00037774,0.00037774
12,812.175,1.03717,0.504,1.062,0.78309,0.77345,0.79006,0.45224,1.60171,0.77748,1.37923,0.000304414,0.000304414,0.000304414
13,879.005,1.01195,0.48827,1.05145,0.7574,0.78661,0.78235,0.45074,1.58419,0.76695,1.37534,0.000231088,0.000231088,0.000231088
14,945.118,1.00043,0.48065,1.04346,0.7573,0.78256,0.78578,0.45012,1.5893,0.78163,1.38002,0.000157762,0.000157762,0.000157762
15,1010.97,0.98116,0.47132,1.03633,0.77939,0.74166,0.7817,0.45161,1.58893,0.77417,1.37781,8.4436e-05,8.4436e-05,8.4436e-05
