epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.6596,1.17395,0.63328,1.11939,0.72983,0.75883,0.75746,0.42571,1.59704,0.82759,1.3535,0.000369069,0.000369069,0.000369069
2,140.992,1.23086,0.67417,1.14872,0.7691,0.72201,0.75209,0.41292,1.61909,0.85189,1.38877,0.000690602,0.000690602,0.000690602
3,224.822,1.25858,0.70216,1.1642,0.72722,0.73416,0.76343,0.41436,1.63163,0.86515,1.37931,0.000963251,0.000963251,0.000963251
4,295.234,1.26981,0.71278,1.16703,0.73259,0.72185,0.73317,0.40951,1.62807,0.86878,1.39444,0.000891022,0.000891022,0.000891022
5,364.956,1.25395,0.69267,1.16132,0.75882,0.73426,0.75159,0.40899,1.63336,0.82819,1.39333,0.000817696,0.000817696,0.000817696
6,429.535,1.16882,0.59824,1.11971,0.72311,0.74232,0.75779,0.43023,1.6101,0.82467,1.37979,0.00074437,0.00074437,0.00074437
7,495.574,1.14012,0.58162,1.1045,0.73314,0.74403,0.75949,0.42573,1.61766,0.8171,1.3831,0.000671044,0.000671044,0.000671044
8,561.417,1.11168,0.55937,1.08968,0.76309,0.75221,0.77283,0.43809,1.5996,0.80567,1.37224,0.000597718,0.000597718,0.000597718
9,626.145,1.09678,0.54892,1.08726,0.71652,0.7934,0.77151,0.43212,1.60519,0.79227,1.38076,0.000524392,0.000524392,0.000524392
10,690.869,1.07421,0.53174,1.07449,0.76296,0.75635,0.76926,0.43626,1.60319,0.79885,1.37022,0.000451066,0.000451066,0.000451066
11,755.463,1.06101,0.52133,1.07505,0.76002,0.75563,0.77179,0.43936,1.58792,0.78786,1.36173,0.00037774,0.00037774,0.00037774
12,840.035,1.04029,0.50736,1.05834,0.75872,0.76051,0.78444,0.45244,1.58924,0.77671,1.36933,0.000304414,0.000304414,0.000304414
13,920.54,1.02096,0.49002,1.0523,0.75916,0.76679,0.77738,0.44903,1.58523,0.77196,1.36665,0.000231088,0.000231088,0.000231088
14,984.272,1.00267,0.48048,1.04774,0.75436,0.76579,0.78254,0.45056,1.58529,0.76803,1.36236,0.000157762,0.000157762,0.000157762
15,1048.76,0.97976,0.46999,1.0378,0.73846,0.77688,0.77795,0.44903,1.5854,0.7738,1.36945,8.4436e-05,8.4436e-05,8.4436e-05
