epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.987,1.10625,0.54992,1.08306,0.74483,0.75585,0.77068,0.4335,1.6125,0.83024,1.3681,0.000369069,0.000369069,0.000369069
2,134.98,1.14499,0.58608,1.10688,0.72955,0.76884,0.7583,0.41162,1.65504,0.85401,1.41799,0.000690602,0.000690602,0.000690602
3,202.621,1.1658,0.61365,1.1188,0.73546,0.7689,0.76782,0.41794,1.682,0.84296,1.41697,0.000963251,0.000963251,0.000963251
4,270.051,1.19124,0.62089,1.12845,0.7284,0.76501,0.74993,0.42206,1.63125,0.84257,1.37523,0.000891022,0.000891022,0.000891022
5,336.327,1.17188,0.60738,1.11763,0.72792,0.76144,0.767,0.43369,1.61599,0.84155,1.39208,0.000817696,0.000817696,0.000817696
6,422.25,1.15542,0.59037,1.11652,0.75927,0.76453,0.78104,0.4402,1.62235,0.82151,1.37839,0.00074437,0.00074437,0.00074437
7,488.789,1.12421,0.57017,1.10021,0.73509,0.74956,0.75393,0.42787,1.62378,0.84489,1.37783,0.000671044,0.000671044,0.000671044
8,572.04,1.11523,0.55859,1.08993,0.72994,0.76626,0.76115,0.42967,1.62902,0.82524,1.3876,0.000597718,0.000597718,0.000597718
9,655.507,1.09826,0.54688,1.08937,0.75432,0.73914,0.76515,0.43339,1.61981,0.78879,1.37875,0.000524392,0.000524392,0.000524392
10,723.713,1.08073,0.5306,1.07749,0.76781,0.76112,0.76419,0.43488,1.61072,0.7867,1.37605,0.000451066,0.000451066,0.000451066
11,790.823,1.05327,0.51759,1.06574,0.73391,0.75077,0.76006,0.43419,1.60665,0.82032,1.3793,0.00037774,0.00037774,0.00037774
12,855.456,1.03261,0.50093,1.06004,0.76881,0.72905,0.76885,0.44184,1.59335,0.79702,1.37101,0.000304414,0.000304414,0.000304414
13,920.74,1.01359,0.49194,1.04813,0.76595,0.73988,0.76829,0.43889,1.60316,0.80162,1.37706,0.000231088,0.000231088,0.000231088
14,986.757,0.99873,0.4796,1.04565,0.74727,0.76305,0.76853,0.44175,1.60158,0.79476,1.3767,0.000157762,0.000157762,0.000157762
15,1051.98,0.98391,0.4701,1.03736,0.7156,0.78555,0.76579,0.43688,1.60316,0.7925,1.38293,8.4436e-05,8.4436e-05,8.4436e-05
