epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.5307,1.15365,0.61921,1.10706,0.76303,0.7615,0.78107,0.44065,1.61355,0.79454,1.36889,0.000369069,0.000369069,0.000369069
2,145.572,1.19258,0.64708,1.12127,0.74257,0.75339,0.75654,0.41644,1.62947,0.82106,1.37242,0.000690602,0.000690602,0.000690602
3,219.267,1.22633,0.67185,1.13838,0.74822,0.74899,0.75985,0.4137,1.62878,0.82589,1.38163,0.000963251,0.000963251,0.000963251
4,291.165,1.21757,0.66969,1.13713,0.72399,0.75655,0.74249,0.41625,1.62148,0.84151,1.37374,0.000891022,0.000891022,0.000891022
5,362.875,1.22321,0.66981,1.13854,0.72617,0.76042,0.76565,0.43103,1.61964,0.83374,1.37026,0.000817696,0.000817696,0.000817696
6,430.206,1.15542,0.59548,1.10836,0.73479,0.73785,0.73759,0.41232,1.62673,0.85924,1.3918,0.00074437,0.00074437,0.00074437
7,499.226,1.12961,0.57557,1.10045,0.73182,0.7477,0.75957,0.43075,1.61823,0.83583,1.38079,0.000671044,0.000671044,0.000671044
8,565.442,1.12575,0.5658,1.09415,0.77213,0.7294,0.76509,0.42455,1.61781,0.83511,1.36893,0.000597718,0.000597718,0.000597718
9,630.339,1.09359,0.54506,1.08415,0.74814,0.77253,0.7754,0.43177,1.61357,0.80967,1.36852,0.000524392,0.000524392,0.000524392
10,695.14,1.07811,0.53705,1.07637,0.76976,0.76606,0.77783,0.43988,1.59725,0.80237,1.36856,0.000451066,0.000451066,0.000451066
11,760.059,1.06391,0.51928,1.07212,0.75458,0.75095,0.7628,0.4302,1.60931,0.81065,1.37859,0.00037774,0.00037774,0.00037774
12,827.876,1.03321,0.50549,1.05793,0.77222,0.74452,0.77856,0.4466,1.59598,0.78163,1.37446,0.000304414,0.000304414,0.000304414
13,896.071,1.01083,0.49308,1.05536,0.74757,0.76341,0.77248,0.44158,1.59596,0.78503,1.37813,0.000231088,0.000231088,0.000231088
14,962.974,0.99603,0.47949,1.04697,0.738,0.75688,0.76055,0.4388,1.59621,0.7961,1.38178,0.000157762,0.000157762,0.000157762
15,1029.9,0.98225,0.47172,1.04094,0.75156,0.75879,0.7694,0.44179,1.59354,0.78198,1.37909,8.4436e-05,8.4436e-05,8.4436e-05
