epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.9522,1.1658,0.63965,1.11126,0.6927,0.81229,0.77983,0.43961,1.63667,0.81063,1.3773,0.000369069,0.000369069,0.000369069
2,147.147,1.20148,0.66118,1.12445,0.7123,0.73354,0.72957,0.40787,1.60512,0.85267,1.35215,0.000690602,0.000690602,0.000690602
3,220.985,1.21894,0.68432,1.13111,0.72549,0.76397,0.75946,0.42169,1.61375,0.84713,1.36696,0.000963251,0.000963251,0.000963251
4,294.401,1.22493,0.69157,1.13866,0.70223,0.76844,0.7438,0.41208,1.62208,0.84072,1.36961,0.000891022,0.000891022,0.000891022
5,367.655,1.2091,0.66602,1.12935,0.71025,0.77416,0.7578,0.42149,1.61079,0.82864,1.37198,0.000817696,0.000817696,0.000817696
6,434.136,1.15572,0.59268,1.1072,0.72625,0.77246,0.76484,0.43522,1.604,0.80999,1.36751,0.00074437,0.00074437,0.00074437
7,501.334,1.13717,0.57784,1.10415,0.73895,0.73251,0.75354,0.42986,1.61005,0.81718,1.36916,0.000671044,0.000671044,0.000671044
8,567.864,1.12316,0.56171,1.09349,0.73068,0.74229,0.75948,0.43469,1.60014,0.82067,1.36283,0.000597718,0.000597718,0.000597718
9,635.389,1.1044,0.54813,1.09449,0.76243,0.74895,0.77937,0.43771,1.61826,0.8145,1.37562,0.000524392,0.000524392,0.000524392
10,701.94,1.07478,0.53257,1.07509,0.77068,0.76759,0.77817,0.44251,1.59979,0.80806,1.38052,0.000451066,0.000451066,0.000451066
11,768.584,1.06315,0.52214,1.07228,0.73597,0.77747,0.76963,0.43961,1.59227,0.79999,1.37524,0.00037774,0.00037774,0.00037774
12,835.455,1.03655,0.50781,1.06198,0.73661,0.77755,0.77562,0.44806,1.58696,0.78382,1.36591,0.000304414,0.000304414,0.000304414
13,902.389,1.0161,0.49372,1.04951,0.78763,0.76884,0.79423,0.45652,1.58904,0.78497,1.37073,0.000231088,0.000231088,0.000231088
14,969.529,1.00041,0.48045,1.04379,0.75806,0.78192,0.78983,0.45672,1.58313,0.77307,1.37479,0.000157762,0.000157762,0.000157762
15,1035.75,0.97691,0.46688,1.03444,0.76503,0.78862,0.79267,0.45713,1.58533,0.77155,1.37472,8.4436e-05,8.4436e-05,8.4436e-05
