epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.3435,1.18885,0.64689,1.13238,0.79658,0.75327,0.78096,0.4356,1.61215,0.80891,1.37109,0.000369069,0.000369069,0.000369069
2,188.431,1.21357,0.66444,1.1472,0.73237,0.76267,0.77327,0.42554,1.6002,0.81262,1.3619,0.000690602,0.000690602,0.000690602
3,311.187,1.24431,0.68862,1.16047,0.71039,0.75788,0.74095,0.40135,1.64383,0.86519,1.38944,0.000963251,0.000963251,0.000963251
4,434.597,1.25647,0.69381,1.16542,0.7206,0.79817,0.77416,0.44087,1.5992,0.81059,1.37151,0.000891022,0.000891022,0.000891022
5,505.235,1.24047,0.674,1.15836,0.75175,0.75128,0.76432,0.43126,1.59949,0.83032,1.36786,0.000817696,0.000817696,0.000817696
6,570.194,1.16178,0.59532,1.11689,0.74966,0.76043,0.77543,0.44552,1.58315,0.81921,1.35848,0.00074437,0.00074437,0.00074437
7,634.6,1.14123,0.58299,1.10473,0.74233,0.71137,0.75212,0.41705,1.64144,0.85081,1.40084,0.000671044,0.000671044,0.000671044
8,699.409,1.12045,0.56492,1.09822,0.73147,0.74312,0.75024,0.42853,1.61161,0.83872,1.3804,0.000597718,0.000597718,0.000597718
9,763.906,1.09646,0.54556,1.08913,0.76127,0.73927,0.76698,0.44031,1.61049,0.80165,1.37307,0.000524392,0.000524392,0.000524392
10,828.447,1.08185,0.53566,1.08005,0.76682,0.75706,0.78285,0.45029,1.59178,0.80754,1.36454,0.000451066,0.000451066,0.000451066
11,892.961,1.05872,0.51971,1.06832,0.76582,0.76951,0.7799,0.44612,1.6123,0.804,1.38121,0.00037774,0.00037774,0.00037774
12,957.015,1.03929,0.50662,1.06312,0.76753,0.77079,0.78916,0.45356,1.61288,0.78455,1.38684,0.000304414,0.000304414,0.000304414
13,1021.28,1.01701,0.49227,1.05278,0.75402,0.77389,0.78159,0.45428,1.59562,0.79131,1.37757,0.000231088,0.000231088,0.000231088
14,1085.43,1.0003,0.48241,1.04785,0.75078,0.77802,0.78731,0.45823,1.59105,0.77826,1.38091,0.000157762,0.000157762,0.000157762
15,1149.67,0.9787,0.47018,1.03868,0.7502,0.75642,0.78156,0.45487,1.58626,0.77517,1.37658,8.4436e-05,8.4436e-05,8.4436e-05
