epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.7376,1.10357,0.56337,1.07908,0.70755,0.74944,0.75666,0.42763,1.62832,0.83224,1.39538,0.000369069,0.000369069,0.000369069
2,135.978,1.16008,0.60643,1.10438,0.73359,0.74905,0.75523,0.42366,1.61863,0.83323,1.37695,0.000690602,0.000690602,0.000690602
3,203.221,1.18157,0.63024,1.11902,0.72688,0.77641,0.77182,0.43257,1.63511,0.83539,1.38377,0.000963251,0.000963251,0.000963251
4,270.747,1.19366,0.64374,1.11504,0.69357,0.7227,0.75075,0.42816,1.61569,0.84945,1.38647,0.000891022,0.000891022,0.000891022
5,338.126,1.18664,0.63003,1.11611,0.76224,0.75577,0.77348,0.43387,1.60613,0.82375,1.37112,0.000817696,0.000817696,0.000817696
6,403.716,1.14778,0.5886,1.10771,0.73093,0.75922,0.75092,0.4271,1.61822,0.82965,1.38144,0.00074437,0.00074437,0.00074437
7,471.083,1.13761,0.57897,1.10491,0.75288,0.7537,0.76712,0.42837,1.63529,0.82525,1.40251,0.000671044,0.000671044,0.000671044
8,575.093,1.1108,0.56094,1.09611,0.71539,0.7984,0.77454,0.42943,1.64218,0.79421,1.38689,0.000597718,0.000597718,0.000597718
9,701.16,1.0946,0.54813,1.0855,0.70738,0.78818,0.74867,0.4216,1.60668,0.80642,1.37924,0.000524392,0.000524392,0.000524392
10,819.203,1.07604,0.53363,1.07473,0.74967,0.76293,0.76294,0.43504,1.59254,0.79234,1.35909,0.000451066,0.000451066,0.000451066
11,925.36,1.05731,0.52141,1.07171,0.74845,0.77894,0.76761,0.43908,1.58805,0.797,1.36688,0.00037774,0.00037774,0.00037774
12,992.384,1.03387,0.5026,1.058,0.7688,0.78076,0.78836,0.44555,1.59338,0.76822,1.3689,0.000304414,0.000304414,0.000304414
13,1087.44,1.01817,0.4932,1.05559,0.75681,0.76891,0.78386,0.45767,1.58667,0.77596,1.3599,0.000231088,0.000231088,0.000231088
14,1162.07,0.99922,0.48024,1.041,0.75164,0.78956,0.78812,0.46173,1.58511,0.76598,1.36296,0.000157762,0.000157762,0.000157762
15,1229.17,0.97196,0.46713,1.03235,0.76765,0.7525,0.77558,0.45332,1.58062,0.76739,1.3631,8.4436e-05,8.4436e-05,8.4436e-05
