epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.851,1.1219,0.58444,1.09076,0.71024,0.76187,0.75605,0.42882,1.60935,0.82537,1.3604,0.000369069,0.000369069,0.000369069
2,182.466,1.17484,0.62505,1.11525,0.76433,0.75396,0.77187,0.43083,1.62424,0.83645,1.36531,0.000690602,0.000690602,0.000690602
3,251.274,1.20712,0.65209,1.13025,0.72887,0.75926,0.76706,0.42762,1.6162,0.83279,1.3863,0.000963251,0.000963251,0.000963251
4,321.515,1.22527,0.66784,1.14159,0.7504,0.7291,0.76295,0.43079,1.62576,0.83357,1.37247,0.000891022,0.000891022,0.000891022
5,388.838,1.19869,0.63871,1.12635,0.73687,0.74543,0.74301,0.4143,1.60727,0.82639,1.37597,0.000817696,0.000817696,0.000817696
6,453.576,1.15678,0.59431,1.11207,0.69647,0.78688,0.76225,0.42903,1.61381,0.83597,1.37512,0.00074437,0.00074437,0.00074437
7,518.14,1.13472,0.57396,1.10199,0.75983,0.75725,0.78475,0.44087,1.6235,0.82433,1.39012,0.000671044,0.000671044,0.000671044
8,592.27,1.11382,0.55941,1.09404,0.75254,0.77371,0.78095,0.44353,1.60788,0.82349,1.36063,0.000597718,0.000597718,0.000597718
9,656.634,1.09473,0.54451,1.08343,0.70803,0.77155,0.7604,0.42933,1.60957,0.79495,1.37968,0.000524392,0.000524392,0.000524392
10,720.813,1.07768,0.53714,1.07851,0.741,0.76303,0.77291,0.43416,1.61165,0.79883,1.37654,0.000451066,0.000451066,0.000451066
11,785.24,1.06029,0.52059,1.07108,0.74964,0.7838,0.78968,0.44739,1.60428,0.79262,1.37854,0.00037774,0.00037774,0.00037774
12,848.381,1.03302,0.50529,1.05767,0.78948,0.77318,0.79953,0.45391,1.61194,0.77002,1.3888,0.000304414,0.000304414,0.000304414
13,913.04,1.01756,0.49449,1.0545,0.77171,0.77584,0.77181,0.43904,1.59599,0.77614,1.36857,0.000231088,0.000231088,0.000231088
14,977.531,0.99797,0.48059,1.04386,0.77425,0.78545,0.79463,0.45533,1.59631,0.77027,1.37697,0.000157762,0.000157762,0.000157762
15,1042.19,0.983,0.46945,1.03687,0.7625,0.79417,0.80316,0.45992,1.58947,0.76808,1.37125,8.4436e-05,8.4436e-05,8.4436e-05
